model_name;core_components;manufacturer_of_record
CrownBook SE Mini SE;Echo Engine;Skyforge Electronics Inc.
PulseBuds Edge;Lyra Shield;Harbor Systems Inc.
NovaBook Edge;Cedar Signal Flex;Aurora Holdings Inc.
Maple Matrix Aurora;Maple Matrix;Aurora Industries Inc.
TerraCase Air;Saffron Kernel Dock;NovaWorks Devices Inc.
SparkBook SE Edge Gen;Umbral Core;NovaWorks Devices Inc.
SignalNode Mini Gen Lite;Zen Wave;Glacier Manufacturing Inc.
Nimbus Beam Aurora;Nimbus Beam;Aurora Industries Inc.
Sable Node Dock Aurora;Sable Node Dock;Aurora Industries Inc.
Echo Fabric Flow Windmill;Echo Fabric Flow;Windmill Manufacturing Inc.
GraphiteStand Mini Air Plus;Quartz Shield Bridge;Nightfall Labs Inc.
BeamBeam Edge;Echo Engine;Skylark Manufacturing Inc.
LyraCam Mini;Topaz Pulse;BlueRiver Manufacturing Inc.
Umber Drive Spark EchoLabs;Umber Drive Spark;EchoLabs Industries Inc.
SyncNode Mini Lite Mini;Teal Arc;Skylark Electronics Inc.
GlacierSpeaker Mini Mini;Topaz Sync / Beryl Hub;Aurora Systems Inc.
SilverNode Pro;Topaz Sync / Beryl Hub;Aurora Systems Inc.
SignalWatch Max Gen;Pearl Shield;Seabird Works Inc.
CopperDrive Ultra Air;Cinder Arc / Cerulean Vector / Helio Bridge Signal / Pulse Shield Frame;Crown Devices Inc.
OpalKey Edge Ultra;Topaz Wave Mesh;Evergreen Devices Inc.
Jade Flex Cinder;Jade Flex;Cinder Networks Inc.
Saffron Pulse Wave Cinder;Saffron Pulse Wave;Cinder Networks Inc.
QuartzPad Mini Pro;Pulse Link;Atlas Works Inc.
NimbusDrive Mini Mini;Argo Bridge;BlueRiver Works Inc.
DriveBuds Lite Air;Copper Signal Stack;NovaWorks Devices Inc.
OrionPhone Air;Frost Grid Mesh;NovaWorks Devices Inc.
SparkHub Mini Mini SE;Delta Link / Ember Core Spark / Luna Flow;Zenith Components Inc.
SummitWatch Lite Pro;Cobalt Node;NovaWorks Devices Inc.
AzureLink Max Max;Quartz Engine Drive;Stonebridge Components Inc.
OrionPad Pro;Quartz Engine Drive;Stonebridge Components Inc.
CoreStand Edge Mini;Saffron Shield Arc;Atlas Networks Inc.
GlacierBook Mini Air;Aero Fabric;Skylark Electronics Inc.
SolNode Mini Lite Mini;Copper Signal Stack;NovaWorks Components Inc.
QuartzRouter Plus;Delta Core;Mosaic Systems Inc.
SaffronDrive Pro Mini;Sable Layer;Skyforge Manufacturing Inc.
SummitStand Air Plus Pro;Mint Mesh / Cinder Dock / Violet Matrix;Mosaic Systems Inc.
UmberPad Mini SE Air;Slate Shield;Glacier Labs Inc.
OpalRouter SE Mini SE;Copper Drive Vector;BrightWave Manufacturing Inc.
GlacierCharge Mini Ultra Edge;Ruby Shield Pulse;Glacier Manufacturing Inc.
CrownStand SE Mini;Atlas Fabric Kernel;Springboard Holdings Inc.
FlexPad SE Mini;Ruby Beam;Seabird Manufacturing Inc.
OnyxDock Edge Mini;Nimbus Engine;NovaWorks Components Inc.
QuartzBook Mini Mini;Zen Signal;RedStone Electronics Inc.
TopazCam Pro Edge;Vega Dock;Riverstone Manufacturing Inc.
TopazStand Edge Ultra;Quartz Flex / Ivory Frame;Quantum Works Inc.
KairoCam;Ember Beam;Harbor Systems Inc.
SenseWatch Max;Cobalt Node;Nebula Systems Inc.
TopazLink Mini Edge Gen;Nimbus Link Drive;Springboard Holdings Inc.
SonicRouter Edge Pro;Nimbus Link Drive;Springboard Holdings Inc.
OnyxCase Air;Cobalt Node;Nebula Systems Inc.
SparkHub SE Lite Mini;Pulse Matrix;Glacier Manufacturing Inc.
OnyxBeam Mini SE Air;Helio Wave Fabric;Glacier Manufacturing Inc.
QuartzBuds Edge Air;Argo Link Vector;Glacier Manufacturing Inc.
Aero Module Arc Glacier;Aero Module Arc;Glacier Manufacturing Inc.
SaffronWatch Plus Lite;Umbral Edge;Glacier Manufacturing Inc.
CobaltBook Edge;Mira Shield;Glacier Manufacturing Inc.
Ruby Wave Glacier;Ruby Wave;Glacier Manufacturing Inc.
AzureSpeaker Air;Lyra Sync;Glacier Manufacturing Inc.
SparkBook Edge;Nimbus Fabric / Lime Stack;Glacier Manufacturing Inc.
CobaltCase SE;Coral Grid;GoldenGate Labs Inc.
EchoBuds Air;Vega Dock;Mountain Systems Inc.
KairoBuds Edge;Mint Wave;Catalyst Holdings Inc.
Indigo Node Module Skylark;Indigo Node Module;Skylark Electronics Inc.
SlateSpeaker SE Plus;Jade Dock;Seabird Manufacturing Inc.
CoreRouter SE Plus;Orion Arc;Copperline Group Inc.
TealDock Mini Plus Pro;Zen Sense;Glacier Manufacturing Inc.
CopperCase Lite Gen;Mira Flex;Saffron Components Inc.
Violet Stack Aurora;Violet Stack;Aurora Industries Inc.
MiraCharge SE Mini;Crimson Grid Core;DeepField Holdings Inc.
DriveBuds Pro;Astra Shield Vault;Glacier Manufacturing Inc.
Violet Frame Aurora;Violet Frame;Aurora Industries Inc.
GraphiteNode Edge Mini;Lyra Edge;Lighthouse Networks Inc.
GoldenRouter Edge Mini;Echo Kernel Dock;Photon Networks Inc.
SonicPad Gen Pro;Silver Stack;Quantum Works Inc.
JadePad Lite Ultra;Delta Drive;Evergreen Holdings Inc.
KairoDock Mini Plus Pro;Pulse Matrix;NovaWorks Devices Inc.
QuantaStand Lite;Cinder Shield;Windmill Works Inc.
IndigoBeam Lite Air;Delta Grid Sync;GoldenGate Works Inc.
ZenithKey Ultra Edge;Terra Sync;Glacier Manufacturing Inc.
PearlHub SE Ultra Edge;Silver Bridge;Crown Systems Inc.
CrownRouter Edge SE;Nova Spark;Harbor Systems Inc.
Nova Node Stack Copperline;Nova Node Stack;Copperline Holdings Inc.
CrownNode Ultra;Silver Module;Glacier Manufacturing Inc.
NebulaLink Ultra Edge;Lime Arc;BlueRiver Manufacturing Inc.
CatalystDrive Plus Air;Golden Frame;Seabird Manufacturing Inc.
HelioBook SE Max Ultra;Cobalt Node;Lighthouse Works Inc.
AzureHub Gen Air;Umbral Bridge Engine;BlueRiver Networks Inc.
SilverCharge Lite Edge;Helio Pulse Bridge;BlueRiver Works Inc.
GoldenBeam Mini Edge Gen;Lyra Stack Matrix;Lumen Technologies Inc.
PearlWatch SE Max Ultra;Indigo Engine / Sierra Layer / Nimbus Signal;Springboard Industries Inc.
Helio Layer Copperline;Helio Layer;Copperline Holdings Inc.
AzureCase Edge;Nimbus Stack Layer / Nimbus Stack;Windmill Electronics Inc.
Maple Grid Vault Glacier;Maple Grid Vault;Glacier Manufacturing Inc.
DriveCase Gen Pro;Lyra Core Shield;BlueRiver Networks Inc.
Ivory Shield Copperline;Ivory Shield;Copperline Holdings Inc.
PhotonSpeaker SE Lite;Violet Link Stack;Mosaic Systems Inc.
TopazStand Plus;Sonic Sense;DeepField Systems Inc.
MintBuds Edge Mini;Silver Matrix Spark;Atlas Works Inc.
PhotonSpeaker Pro Plus;Nimbus Vector;Mosaic Holdings Inc.
GraphiteBuds Mini Edge;Cobalt Node;Lighthouse Works Inc.
OnyxBook SE Plus Pro;Helio Spark;Catalyst Holdings Inc.
UmberHub Ultra Max;Kairo Vector;Lighthouse Technologies Inc.
AzureHub Lite Mini SE Air;Vega Flex;Nightfall Labs Inc.
JadeBeam Lite;Magenta Matrix;Cinder Works Inc.
HarborPad Gen Mini;Ruby Signal;Evergreen Group Inc.
WavePhone Air;Citrine Matrix / Mint Node Sync;Seabird Manufacturing Inc.
LumenKey Gen Gen;Citrine Matrix / Opal Matrix;Seabird Manufacturing Inc.
CodaNode Ultra;Onyx Core Layer;BrightWave Manufacturing Inc.
SenseBuds Plus;Orion Signal;Glacier Labs Inc.
DriveKey Air;Cobalt Fabric;RedStone Electronics Inc.
Helio Layer Aurora;Helio Layer;Aurora Industries Inc.
GraphiteCase Lite Mini SE;Zen Wave Node;Glacier Manufacturing Inc.
KairoPad Pro Plus;Teal Wave;Skylark Manufacturing Inc.
HarborCharge Mini Pro Max;Cobalt Node;Skyforge Electronics Inc.
SenseBook Mini Pro;Umbral Module;Arbor Industries Inc.
Umber Kernel Hub Aurora;Umber Kernel Hub;Aurora Industries Inc.
SlateDock SE Air Plus;Sol Core Hub;Seabird Manufacturing Inc.
VegaWatch Gen Lite;Sable Sync;Aurora Systems Inc.
Coda Beam Aurora;Coda Beam;Aurora Industries Inc.
UmberKey Lite Gen;Sable Kernel;Seabird Manufacturing Inc.
SonicNode Mini Ultra;Pearl Signal Flow / Onyx Shield Dock;RedStone Electronics Inc.
MiraNode Edge Gen;Beryl Signal;Photon Electronics Inc.
AstraSpeaker SE Gen;Beryl Signal;Cinder Labs Inc.
CatalystDrive Mini Gen;Sable Matrix;Glacier Electronics Inc.
CrimsonPhone Mini Air;Citrine Beam;Ironwood Group Inc.
TopazCharge Air;Echo Vector;Seabird Works Inc.
Atlas Fabric Kernel Aurora;Atlas Fabric Kernel;Aurora Industries Inc.
SyncNode Mini SE;Kairo Pulse;Aurora Systems Inc.
Maple Grid SilverLine;Maple Grid;SilverLine Holdings Inc.
OpalWatch Pro Air;Slate Layer;Ironwood Group Inc.
OnyxSpeaker SE SE Air;Teal Bridge;Seabird Manufacturing Inc.
PhotonLink Mini SE;Zen Grid Matrix;BrightWave Technologies Inc.
TealNode Mini SE Air;Golden Flex;Seabird Manufacturing Inc.
SparkNode Gen;Lime Vault;Mountain Devices Inc.
CoreBeam Edge Ultra;Teal Kernel Bridge / Luna Flow;Aurora Industries Inc.
UmberDrive Mini Lite Mini;Zen Link / Helio Engine;Zenith Components Inc.
SignalCase Plus Ultra;Orion Flex;Riverstone Works Inc.
GlacierStand Max Ultra Edge;Vega Bridge Sync;Cinder Works Inc.
HarborPhone Gen;Cinder Sense;GoldenGate Works Inc.
WavePhone Lite Air;Kairo Pulse Flex;Atlas Electronics Inc.
SonicStand Edge;Cobalt Node;Skyforge Electronics Inc.
WaveWatch Edge Gen;Cinder Beam;BlueRiver Manufacturing Inc.
RubyNode Ultra Air;Frost Pulse Arc;Windmill Electronics Inc.
CrownLink Edge Gen;Frost Matrix Bridge;SilverLine Devices Inc.
HelioDrive Pro Pro;Zen Bridge Hub;Lighthouse Manufacturing Inc.
VectorNode Edge;Astra Vector;Nightfall Networks Inc.
WaveCase SE;Golden Layer;Glacier Electronics Inc.
MintNode Ultra Gen;Sierra Node / Golden Stack;Skyforge Networks Inc.
RubyNode Max Ultra Edge;Atlas Frame;BlueRiver Technologies Inc.
CopperCharge Max Plus;Pulse Layer / Crimson Kernel Edge;Glacier Manufacturing Inc.
AuroraLink Lite Mini;Sable Grid Sense;Mosaic Systems Inc.
QuantaKey Mini;Magenta Shield Mesh;Nightfall Electronics Inc.
Beryl Module Aurora;Beryl Module;Aurora Industries Inc.
CrimsonBeam Air;Aero Flow;Harbor Systems Inc.
GlacierDock Mini Mini SE;Topaz Matrix Engine;Cinder Works Inc.
VegaDrive Mini Edge;Topaz Layer;Skylark Manufacturing Inc.
OnyxBeam Edge;Terra Kernel;Glacier Electronics Inc.
RubyCam Lite SE;Sol Shield / Coral Pulse / Coral Shield / Nova Node Stack;Cinder Works Inc.
UmberNode Mini Ultra Edge;Cobalt Node;BlueRiver Technologies Inc.
GlacierCase Mini SE;Auric Sense;Skylark Electronics Inc.
CrimsonBuds Gen;Orion Node;Ironwood Systems Inc.
Astra Link RedStone;Astra Link;RedStone Manufacturing Inc.
TerraWatch Edge;Opal Drive;Glacier Manufacturing Inc.
CitrineStand Max;Topaz Grid Node;Glacier Electronics Inc.
NebulaBeam Ultra;Quartz Engine Drive;Glacier Electronics Inc.
HarborBeam Lite Mini SE;Vega Matrix;Starlight Holdings Inc.
QuartzCharge Plus Gen;Azure Core Arc;Aurora Industries Inc.
HarborRouter SE SE Air;Umber Drive Spark;Cinder Networks Inc.
CodaBuds Mini Max;Onyx Grid Flow;Meadow Works Inc.
SilverDrive Max;Lime Arc;Northwind Labs Inc.
OpalStand SE Gen;Violet Module / Opal Flow;Crown Group Inc.
WaveBeam Air;Umbral Shield Node;BrightWave Works Inc.
NimbusWatch SE Pro Max;Jade Drive;Clearwater Electronics Inc.
CrimsonCam Edge;Cinder Dock;Saffron Systems Inc.
CatalystLink Pro Max Ultra Edge;Cinder Dock;Seabird Manufacturing Inc.
RubyCam Gen Plus;Cinder Dock;Seabird Manufacturing Inc.
KairoCam Gen;Onyx Bridge;Atlas Labs Inc.
SilverSpeaker Mini Gen;Beryl Kernel;Ironwood Systems Inc.
CobaltPhone Air;Citrine Stack;Lumen Labs Inc.
UmberCase Edge Edge;Saffron Kernel Dock;BlueRiver Technologies Inc.
GoldenSpeaker Pro SE;Echo Pulse Wave;BlueRiver Technologies Inc.
Ruby Grid Nebula;Ruby Grid;Nebula Systems Inc.
SenseCase Mini Mini SE;Beryl Flex;Skylark Manufacturing Inc.
NovaSpeaker Mini Gen;Zen Flex;DeepField Systems Inc.
JadeRouter Edge Gen;Azure Wave / Coral Pulse;RedStone Works Inc.
GraphiteCharge Air;Slate Arc / Copper Pulse / Helio Engine;Skyforge Networks Inc.
TopazWatch Edge;Mint Pulse Vector;Northwind Labs Inc.
SummitStand Edge;Lyra Sense;Photon Technologies Inc.
SaffronBeam Mini Mini SE;Crimson Drive Sync;Seabird Works Inc.
CitrineWatch Gen Edge;Azure Spark;BlueRiver Manufacturing Inc.
CatalystStand Ultra Edge Gen;Delta Signal;Mosaic Holdings Inc.
HelioCam Edge Mini;Pulse Bridge;BlueRiver Electronics Inc.
HarborHub SE Mini;Umbral Core;Orion Electronics Inc.
VectorKey Ultra Edge Gen;Lime Grid Edge;Photon Electronics Inc.
PulseDrive Mini Max;Sol Drive Kernel;Lighthouse Manufacturing Inc.
OpalStand Mini;Pearl Signal Flow / Onyx Shield Dock;RedStone Electronics Inc.
Saffron Pulse Wave BlueRiver;Saffron Pulse Wave;BlueRiver Labs Inc.
UmberBeam Mini Mini SE;Sable Signal;Pinecone Group Inc.
VectorPhone SE SE Air;Cobalt Node;Clearwater Technologies Inc.
QuantaPad Edge;Beryl Core;Orion Labs Inc.
SparkDrive Ultra;Beryl Core / Mint Mesh;Orion Labs Inc.
SilverKey Pro Air;Cobalt Node;Aurora Industries Inc.
BridgeBeam Plus Pro;Helio Shield;Windmill Networks Inc.
GlacierBook Pro Max;Umbral Core;Orion Electronics Inc.
SlateBuds Mini Air;Cobalt Node;Aurora Industries Inc.
PulsePad SE Plus Pro;Vega Matrix Vector;Skylark Manufacturing Inc.
NebulaHub SE Lite;Ivory Stack / Citrine Bridge;RedStone Technologies Inc.
OrionNode Lite;Azure Bridge Matrix;Aurora Industries Inc.
JadeDock Pro Gen;Sonic Fabric;Mosaic Holdings Inc.
SummitPad SE Air Plus;Umbral Beam / Cinder Dock;Seabird Manufacturing Inc.
SaffronStand Mini Pro Max;Umbral Engine;RedStone Electronics Inc.
VegaPhone Mini SE Air;Umbral Beam / Cinder Dock;Seabird Manufacturing Inc.
IndigoCam SE;Aero Module Arc;BrightWave Manufacturing Inc.
QuartzPhone Mini Lite Mini;Umbral Beam / Cinder Dock;Seabird Manufacturing Inc.
BeamRouter Max;Umbral Sync;NovaWorks Systems Inc.
Saffron Pulse Wave Summit;Saffron Pulse Wave;Summit Manufacturing Inc.
SlatePhone Mini;Echo Engine;BlueRiver Technologies Inc.
GoldenCharge Lite Gen;Azure Fabric Shield / Frost Fabric Wave;Aurora Systems Inc.
OrionCase Air;Onyx Matrix;Clearwater Technologies Inc.
SummitCase Edge Gen;Sierra Sense;Aurora Industries Inc.
SensePad Pro;Lyra Arc;Lighthouse Networks Inc.
DriveNode Gen Mini;Sonic Node Drive;Aurora Industries Inc.
CodaDrive Ultra Edge;Pearl Signal Flow;RedStone Electronics Inc.
AuroraStand SE Edge;Ruby Spark;Skyforge Manufacturing Inc.
CrownSpeaker SE Gen Lite;Graphite Beam;GoldenGate Works Inc.
Ruby Module Aurora;Ruby Module;Aurora Industries Inc.
MiraSpeaker SE Max Ultra;Golden Edge;EchoLabs Group Inc.
KairoKey Pro Lite;Cobalt Node;NovaWorks Devices Inc.
Cinder Sense Aurora;Cinder Sense;Aurora Industries Inc.
DriveStand Ultra;Terra Dock;Starlight Group Inc.
LumenWatch Mini;Graphite Beam;GoldenGate Works Inc.
OnyxSpeaker Max Ultra Edge;Lime Wave Spark;Saffron Industries Inc.
VegaNode Gen Mini;Graphite Signal;ElectroPulse Devices LLC
VegaNode Plus Lite;Sonic Vault;RedStone Manufacturing Inc.
VectorCase Plus Pro;Silver Kernel Beam;Saffron Industries Inc.
Nimbus Flex Cinder;Nimbus Flex;Cinder Labs Inc.
JadeNode Pro;Coral Hub;Glacier Labs Inc.
HarborBuds Plus;Frost Matrix Bridge;Highland Industries Inc.
SlateBeam Gen;Copper Signal Stack;Lumen Networks Inc.
LumenCam Air Max;Sable Vault;SilverLine Components Inc.
Saffron Pulse Wave Windmill;Saffron Pulse Wave;Windmill Manufacturing Inc.
SummitBook Mini Mini;Golden Shield Frame;Skyforge Labs Inc.
NimbusDrive Pro Air;Echo Engine;Highland Industries Inc.
OpalCharge Pro Max;Umbral Node Hub;BrightWave Technologies Inc.
GoldenKey Pro Plus;Ruby Module;Clearwater Technologies Inc.
Silver Grid Stack Aurora;Silver Grid Stack;Aurora Industries Inc.
PhotonHub Plus Lite;Jade Engine Arc;NovaWorks Components Inc.
OnyxCharge Lite Air;Helio Spark;Catalyst Holdings Inc.
SaffronBuds Mini Lite Mini;Ember Sense;Ironwood Group Inc.
Golden Stack Core Saffron;Golden Stack Core;Saffron Industries Inc.
LumenBuds Ultra Edge;Kairo Pulse;Aurora Systems Inc.
NimbusPad Gen Max;Saffron Kernel Dock;Glacier Manufacturing Inc.
KairoPhone Air;Orion Mesh;BlueRiver Electronics Inc.
CrimsonPad Mini SE Air;Zen Node Link;Clearwater Technologies Inc.
NimbusRouter Gen;Pulse Sync / Slate Beam / Cinder Fabric Node;Lighthouse Manufacturing Inc.
CoreDock Gen;Pulse Sync / Slate Beam / Magenta Core;Lighthouse Manufacturing Inc.
VectorRouter Gen;Astra Sync / Coda Frame;Ironwood Group Inc.
Coral Sense Copperline;Coral Sense;Copperline Holdings Inc.
SenseBeam Mini Mini SE;Slate Shield Stack;Windmill Networks Inc.
Saffron Pulse Wave Nebula;Saffron Pulse Wave;Nebula Systems Inc.
Mint Shield Copperline;Mint Shield;Copperline Group Inc.
CrownDrive Air;Mint Shield;BlueRiver Technologies Inc.
PhotonHub;Mint Shield;Riverstone Works Inc.
RubySpeaker Mini Mini;Ruby Layer;Windmill Networks Inc.
SonicBuds Plus;Ruby Layer;Windmill Networks Inc.
Sierra Spark Aurora;Sierra Spark;Aurora Industries Inc.
ZenithLink Max Ultra;Cedar Signal;Mosaic Systems Inc.
CatalystCam Gen;Frost Matrix;BlueRiver Manufacturing Inc.
Quartz Kernel Mosaic;Quartz Kernel;Mosaic Group Inc.
AstraPhone SE Lite Mini;Cobalt Node;Highland Industries Inc.
Violet Wave Vector Windmill;Violet Wave Vector;Windmill Manufacturing Inc.
PearlStand Edge;Cinder Stack / Coral Pulse;Harbor Systems Inc.
SilverLink Mini SE Air;Atlas Sync;Zenith Components Inc.
BridgePhone Mini Pro;Saffron Kernel Dock;Copperline Group Inc.
CatalystRouter Lite;Auric Shield Flex;Mosaic Industries Inc.
Crimson Kernel Edge Copperline;Crimson Kernel Edge;Copperline Holdings Inc.
CopperDock Pro;Sierra Core;Glacier Manufacturing Inc.
Umbral Sense Copperline;Umbral Sense;Copperline Group Inc.
SparkBuds SE Air Plus;Umbral Sense;BlueRiver Technologies Inc.
CodaBeam Mini Ultra Edge;Slate Wave;Evergreen Holdings Inc.
CobaltWatch Pro Gen;Cobalt Shield Mesh;Skyforge Labs Inc.
QuantaBook Plus Pro;Coda Sense;Seabird Labs Inc.
HelioNode Mini Lite;Umber Flow;DeepField Systems Inc.
WaveCharge Pro;Saffron Arc;RedStone Works Inc.
SolPad Pro Pro;Sable Arc;RedStone Electronics Inc.
OrionWatch Ultra Edge;Argo Link Vector;Stonebridge Devices Inc.
CrimsonCam Lite Plus;Ivory Stack / Saffron Shield / Ruby Bridge;Catalyst Components Inc.
SonicCam Max SE;Quanta Node / Sable Bridge Core;Cinder Works Inc.
PearlDrive Pro Plus;Lyra Layer;Starlight Industries Inc.
SonicLink Plus Gen;Helio Signal;Copperline Components Inc.
TopazRouter Air Plus Pro;Mira Grid Wave;Meadow Electronics Inc.
TealStand SE Max;Graphite Bridge Hub;Catalyst Holdings Inc.
VegaCam SE Edge Gen;Atlas Drive Fabric;Highland Industries Inc.
ZenithCharge Max;Helio Signal Arc;BlueRiver Networks Inc.
NebulaWatch Lite Plus;Copper Matrix Vault;Mosaic Devices Inc.
SolRouter SE Air;Copper Beam;Ironwood Components Inc.
Orion Kernel Nebula;Orion Kernel;Nebula Systems Inc.
RubyHub Max;Beryl Spark;Glacier Labs Inc.
UmberRouter Pro;Violet Bridge;Mountain Components Inc.
AtlasBook Mini Max;Ember Shield;Atlas Electronics Inc.
Sierra Spark BrightWave;Sierra Spark;BrightWave Manufacturing Inc.
MintRouter Lite;Ember Shield / Topaz Spark;Atlas Electronics Inc.
Sierra Spark Glacier;Sierra Spark;Glacier Manufacturing Inc.
Sierra Spark EchoLabs;Sierra Spark;EchoLabs Industries Inc.
SummitBeam Mini Ultra Edge;Ruby Fabric;RedStone Electronics Inc.
OpalPhone SE Ultra Edge;Helio Core Stack;Mosaic Components Inc.
NovaNode SE;Cerulean Mesh;RedStone Electronics Inc.
BridgeKey Edge Gen Lite;Coda Sync;BlueRiver Manufacturing Inc.
BeamRouter SE SE Air;Ivory Drive Layer / Slate Beam / Magenta Core;Nebula Systems Inc.
UmberCharge Max Lite;Echo Engine;NovaWorks Components Inc.
Azure Vault Photon;Azure Vault;Photon Works Inc.
SlateCharge Plus;Terra Shield Sync;Mosaic Components Inc.
SolLink Gen;Argo Engine Edge / Slate Beam / Magenta Core;Nebula Systems Inc.
Azure Vault Pinecone;Azure Vault;Pinecone Industries Inc.
GoldenLink SE Air;Copper Signal Stack;Aurora Industries Inc.
Terra Stack BlueRiver;Terra Stack;BlueRiver Technologies Inc.
SenseDock Max;Sierra Pulse;Ironwood Group Inc.
DriveWatch SE Air Plus;Terra Sync;BlueRiver Technologies Inc.
SaffronSpeaker Plus Pro Max;Lime Wave Spark / Beryl Hub;Saffron Industries Inc.
VectorCharge Air;Quanta Layer;Aurora Systems Inc.
DriveLink Plus Edge;Lyra Bridge Spark / Azure Signal Edge;Seabird Manufacturing Inc.
OnyxCam Edge;Lyra Bridge Spark / Azure Signal Edge;Seabird Manufacturing Inc.
DriveCharge SE Max;Ember Flow;Glacier Manufacturing Inc.
SyncLink Lite;Kairo Pulse;Nightfall Electronics Inc.
SilverPad Pro Edge;Auric Fabric / Sol Sense;Cinder Labs Inc.
TopazCase Plus Gen;Auric Fabric;Cinder Labs Inc.
PulseWatch Air Gen;Cerulean Arc;Meadow Electronics Inc.
MintBook SE Max Ultra;Pulse Engine Kernel;Ironwood Industries Inc.
NebulaPhone Air;Copper Arc;Meadow Electronics Inc.
VegaBuds Max;Umber Pulse;Quantum Labs Inc.
OrionStand Edge SE;Aero Frame;Atlas Labs Inc.
CatalystCharge Max Gen;Azure Core Arc;Glacier Manufacturing Inc.
HarborWatch SE Mini SE;Atlas Shield Bridge;Ironwood Group Inc.
OpalPad SE;Delta Stack;Glacier Labs Inc.
CatalystWatch Edge;Delta Bridge Kernel;Ironwood Group Inc.
ArgoKey Max Pro;Quartz Mesh / Topaz Flow;Mountain Systems Inc.
PhotonPad Lite Mini SE;Nova Node;Harbor Systems Inc.
Cinder Stack Copperline;Cinder Stack;Copperline Holdings Inc.
SignalSpeaker Ultra;Ruby Stack;Sunpeak Holdings Inc.
VegaCharge Pro;Kairo Kernel;Aurora Group Inc.
CobaltCase Max Mini;Silver Arc;Harbor Industries Inc.
TealDrive Max;Argo Matrix Kernel;Mosaic Holdings Inc.
VectorStand Edge Gen Lite;Beryl Arc / Helio Engine;Glacier Manufacturing Inc.
QuantaPad Pro Lite;Beryl Stack Kernel;Starlight Group Inc.
JadeKey Lite SE;Sierra Hub / Golden Hub;Quantum Electronics Inc.
CatalystPhone SE Mini SE;Coda Pulse Hub;RedStone Electronics Inc.
OpalDrive SE SE;Pearl Vault;EchoLabs Devices Inc.
Terra Stack Cinder;Terra Stack;Cinder Labs Inc.
PhotonPad SE Max Ultra;Azure Vault;BlueRiver Labs Inc.
Silver Kernel Beam BrightWave;Silver Kernel Beam;BrightWave Manufacturing Inc.
PearlStand Lite Mini;Cerulean Kernel;Evergreen Holdings Inc.
SparkWatch SE Gen Lite;Cerulean Bridge / Onyx Wave Core;Crown Devices Inc.
SummitWatch Pro Plus;Astra Frame;Stonebridge Components Inc.
Aero Spark GoldenGate;Aero Spark;GoldenGate Works Inc.
AtlasPad Ultra;Citrine Node;Pinecone Devices Inc.
GlacierNode Edge SE;Cerulean Shield;Ironwood Group Inc.
GlacierStand Mini Plus Pro;Cerulean Kernel / Echo Vault;Evergreen Holdings Inc.
VectorNode Mini;Azure Core Arc;Quantum Electronics Inc.
SignalBuds Mini SE;Sable Sense;Windmill Electronics Inc.
GraphiteBeam Edge;Echo Engine;NovaWorks Devices Inc.
GraphiteSpeaker SE Gen Lite;Teal Layer;Highland Holdings Inc.
NimbusPad Edge;Opal Hub;Ironwood Holdings Inc.
TopazHub Edge Edge;Terra Sync;Seabird Technologies Inc.
MiraHub Air Plus;Terra Engine Layer;Glacier Manufacturing Inc.
VegaWatch SE SE Air;Maple Flex;RedStone Electronics Inc.
DriveHub Pro;Auric Pulse;Clearwater Works Inc.
LumenLink Plus Pro;Aero Link Link;Starlight Devices Inc.
Cinder Stack Saffron;Cinder Stack;Saffron Industries Inc.
CitrineKey Edge;Pearl Shield Sync / Echo Vault;Seabird Manufacturing Inc.
KairoRouter SE Edge Gen;Pearl Shield Sync / Echo Vault;Seabird Manufacturing Inc.
SparkSpeaker Ultra Ultra;Quanta Spark;Crown Devices Inc.
NovaCase Pro Gen;Quartz Mesh;Skyforge Manufacturing Inc.
BridgeCam Plus Pro;Cedar Hub;Evergreen Group Inc.
Jade Flex Quantum;Jade Flex;Quantum Electronics Inc.
HelioCase Pro Max Ultra;Pearl Link;Mountain Systems Inc.
PulseRouter Edge Mini;Quartz Bridge Vector;Mosaic Holdings Inc.
CodaNode;Topaz Layer;Aurora Group Inc.
SonicLink Max Pro;Azure Link Module;NovaWorks Components Inc.
CrimsonRouter Gen Lite;Topaz Sync / Beryl Hub;Saffron Industries Inc.
AzureRouter Mini SE;Topaz Sync;Saffron Industries Inc.
NebulaNode Ultra;Topaz Wave / Echo Vault;Mosaic Systems Inc.
CobaltLink Mini Plus;Astra Spark;BrightWave Works Inc.
SenseLink Mini Plus;Cobalt Bridge Bridge / Astra Vault;Mosaic Systems Inc.
Umber Drive Spark Aurora;Umber Drive Spark;Aurora Industries Inc.
EdgePhone SE Lite Mini;Topaz Wave / Echo Vault;Mosaic Systems Inc.
AstraHub Edge;Topaz Kernel;Highland Industries Inc.
SolRouter Edge Edge;Ivory Wave Shield;Summit Electronics Inc.
MiraDrive Plus Gen;Copper Frame;Skyforge Labs Inc.
JadePad Mini Air Plus;Topaz Bridge Arc;Arbor Components Inc.
Pulse Stack BrightWave;Pulse Stack;BrightWave Works Inc.
CrimsonWatch Max;Sol Fabric;Glacier Manufacturing Inc.
UmberLink Max Pro;Quartz Engine Drive;Aurora Industries Inc.
SyncBeam Air;Ember Shield Signal;Northwind Electronics Inc.
AuroraKey Mini Gen Lite;Graphite Engine / Echo Vault;Riverstone Works Inc.
