model_name,core_components,manufacturer_of_record
EdgeCharge Plus,Coral Stack Sense,Crown Devices Inc.
BridgeBook Edge,Pulse Wave Wave,Harbor Devices Inc.
CatalystCam Gen,Frost Matriz,BlueRiver Manufacturing GmbH
LyraRouter Gen,"Pulse Sync, Slate Rayo, Cinder Gewebe Node",Lighthouse Manufacturing AG
FlexPad SE Mini,Ruby Rayo,Seabird Manufacturing AG
AtlasKey Air SE,Nova Wave Kernel,Lighthouse Manufacturing AG
CoreBeam Edge Ultra,Teal Kernel Bridge & Luna Flow,Aurora Industries Inc.
LyraPad Gen Gen,Coral Vector + Nimbus Kern Lien,Ironwood Components GmbH
AzureHub Gen Air,Umbral Bridge Engine,BlueRiver Networks Inc.
AuroraBeam Mini Pro Max,Cinder Kernel Matriz,Glacier Manufacturing Inc.
GoldenBeam Mini Edge Gen,Lyra Stack Matriz,Lumen Technologies AG
MintBook SE Max Ultra,Pulse Engine Kernel,Ironwood Industries Inc.
SolSpeaker Mini,"Cerulean Node, Pearl Node Kern, Helio Bouclier Flex",DeepField Systems Inc.
VegaStand Max,Nimbus Node,Cinder Labs Inc.
GlacierWatch Edge,Opal Netz Netz,Cinder Labs Inc.
LumenLink Plus Pro,Aero Lien Lien,Starlight Devices AG
PhotonSpeaker SE Lite,Violet Lien Stack,Mosaic Systems GmbH
SonicCam Max SE,Quanta Node + Sable Bridge Kern,Cinder Works AG
EdgeSpeaker Ultra Lite,Terra Flow,Glacier Manufacturing Inc.
FlexNode Gen Max,Crimson Flex,Springboard Group Inc.
CodaNode Mini SE Air,Pearl Gewebe,Crown Devices Inc.
CopperSpeaker SE Max Ultra,Terra Kernel Drive,Lighthouse Manufacturing AG
PulseBeam,Sierra Kernel Lien,Skylark Manufacturing Sàrl
VegaPhone SE Mini,Coda Lien,GoldenGate Works Inc.
CobaltWatch Pro Gen,Cobalt Bouclier Mesh,Skyforge Labs Inc.
VegaCam Max Mini,Sol Wave Rayo,Lumen Electronics Inc.
SparkHub Ultra Mini,Onyx Engine,Aurora Systems Inc.
CrimsonPad Mini SE Air,Zen Node Lien,Clearwater Technologies AG
SaffronBeam Mini Mini SE,Crimson Drive Sync,Seabird Works Sàrl
WaveCase Mini,Slate Edge,Windmill Works Inc.
CatalystPhone Lite 512GB Refurbished,Auric Hub and Helio Engine,Crown Devices Inc.
OnyxLink Mini Pro,Nimbus Kernel Rayo,Seabird Manufacturing AG
MintPad Plus Pro Max,Silver Wave Pulse,Zenith Group Inc.
SilverHub,Violet Matriz Netz and Saffron Matriz Sync,Glacier Manufacturing Inc.
AzureBook SE,Indigo Matriz Hub and Violet Kern,Aurora Industries Inc.
PhotonCam Gen,Atlas Pulse Sync,Summit Manufacturing Inc.
SyncHub Gen,Onyx Sense,Quantum Electronics AG
CrimsonPhone Mini Air,Citrine Rayo,Ironwood Group Inc.
TealRouter SE Edge,Auric Kernel Sense,Glacier Manufacturing Inc.
OrionPhone Pro Max Ultra,Lime Dock,Nightfall Networks Inc.
KairoPad Gen Ultra,Magenta Kernel Wave,Nebula Systems Sàrl
AzureCam Mini SE Air,Astra Matriz Flex,Cinder Labs Inc.
MiraBeam Mini Max Ultra,Mint Bouclier Signal,Pinecone Systems GmbH
CobaltPhone Air,Citrine Stack,Lumen Labs Inc.
TopazBeam Plus Lite,Lyra Layer,Northwind Manufacturing Inc.
OrionCase Air,Onyx Matriz,Clearwater Technologies AG
TerraBeam Max,Mira Node,Evergreen Holdings AG
GraphiteWatch Edge,Nimbus Wave,Highland Industries Inc.
NebulaBuds Air Mini,Saffron Arc,Arbor Components Inc.
SolKey Plus SE,Opal Bridge Vault,Harbor Devices Inc.
SaffronBuds Mini Lite Mini,Ember Sense,Ironwood Group Inc.
CrimsonDrive Mini Gen Lite,Orion Bouclier,Pinecone Systems GmbH
ArgoCam SE Gen Lite,Delta Drive Signal,Quantum Electronics AG
AuroraNode Ultra,Violet Pulse Kern,Skyforge Labs Inc.
CoreRouter SE Plus,Orion Arc,Copperline Group Sàrl
QuartzStand SE Lite,Lyra Vector,Photon Works AG
CopperPad Plus Gen,Vega Netz Bridge,Mosaic Holdings AG
AzureHub Lite Mini SE Air,Vega Flex,Nightfall Labs AG
OpalBuds Mini Pro Max,Slate Signal Kernel,Aurora Group AG
LyraPhone Air,Frost Sync,Windmill Technologies Inc.
BeamHub Gen,Mint Engine,Mountain Components Inc.
WaveRouter Mini Air Plus,Opal Sense,Seabird Works Sàrl
UmberNode Ultra Max,Umber Netz,EchoLabs Holdings GmbH
